Assembly	R	Rlower	Rupper	C	R.pvalue	C.pvalue	Npairs	Nmotifs	MedianDistPM	MedianDistMP	MedianDistPP	MedianDistMM	AssemblyLength	PalindromeValue	R.qvalue	Name
ailMel1	1.60448761620113	1.46062990279794	1.74834532960432	0.96644971879311	1.18438280259079e-36	0.41734989355811	11789	13536	73009	45503	54645	56542	2235780462	NA	5.84789008779202e-36	Panda
allMis1	1.12275415147833	0.968400172896733	1.27710813005993	1.00609312624246	0.0584392683570315	0.937070614567117	7184	9574	69302	61725	62250	61873	2117627200	NA	0.0699500333364468	American_alligator
anoCar2	1.081814303444	1.01080918610527	1.15281942078272	1.00575483620103	0.475487184852043	0.752377376327643	18412	19553	55787	51568	51731	51435	1772210069	NA	0.500846501377485	Lizard
apiMel2	1.05343622597554	0.946286481441346	1.16058597050973	0.914689911403258	0.341856480559303	0.0529624582576329	9400	10311	14470	13736	12802	13996	502497597	NA	0.375092527280346	Honey_bee
aplCal1	1.08740811760946	0.950132955991987	1.22468327922693	1.08645776566757	0.211070958644262	0.735129618806808	4571	6224	40830	37548	39873	36700	690025045	NA	0.241660952650677	Sea hare
aptMan1	1.49354463882254	1.32834509885581	1.65874417878927	1.02233160809295	1.77601499533426e-28	0.955898437296542	10167	11040	92546	61964	56492	55258	1431698985	NA	3.79203201706504e-28	Kiwi
balAcu1	1.49389291067385	1.38183050598909	1.60595531535861	1.00467745375872	2.09559705499599e-27	0.903955356823159	14122	14637	93688	62714	65941	65634	2415304822	NA	4.24492736781238e-27	Minke_whale
bosTau8	1.54342840531025	1.39589450559351	1.69096230502699	0.976284183162206	1.01692968662405e-33	0.850547033189958	15419	15631	95566	61918	67224	68857	2663828946	NA	2.97546093493703e-33	Cow
braFlo1	1.06572761016465	0.971809732854046	1.15964548747526	1.03891423357664	0.0258185022537446	0.446643804109219	11542	11819	55988	52535	45546	43840	926386587	NA	0.0313794104314742	Lancelet
calJac3	1.54348773841962	1.40104542593566	1.68593005090358	1.00794051067922	2.84483556670148e-36	0.361002849622334	15373	15701	113292	73400	85936	85259	2836295379	NA	1.32201182217304e-35	Marmoset
calMil1	1.542279260216	1.42079421058194	1.66376430985006	1.03883332134034	3.73832325009724e-42	0.472458419338536	12007	12835	56122	36389	43310	41691	939117690	NA	5.90655073515364e-41	Elephant_shark
canFam3	1.48644420404427	1.3729788898755	1.59990951821304	1.00168962630337	1.5739978627411e-26	0.64712294728953	15623	15929	89313	60085	65806	65695	2376080210	NA	3.03282515015967e-26	Dog
cavPor3	1.48681281884615	1.36593230804525	1.60769332964704	1.07082978118784	2.48579924516511e-29	0.192507265412518	17352	18024	75484	50769	60292	56304	2692221157	NA	5.45494834355677e-29	Guinea_pig
ce11	1.07531380753138	0.93009073649738	1.22053687856538	1.12926632625638	0.171566623517505	0.108315719159737	4940	5417	14135	13145	12606	11163	100286401	NA	0.202294973998252	C.elegans
cerSim1	1.58831442377471	1.46682028849865	1.70980855905078	1.10862736020634	1.17235071984509e-37	0.0225156954172348	15500	15890	89735	56497	67052	60482	2453769144	NA	7.71797557231348e-37	White_rhinoceros
